branch_code,product_status,sku,product_name_en,product_name_cn,slug,category,subcategory,tags,target_buyers,use_cases,short_summary_en,description_en,selling_points,material,color_options,size_cm,weight_g,packing,carton_qty_pcs,carton_size_cm,carton_gw_kg,carton_nw_kg,moq_pcs,price_min_usd,price_max_usd,sample_available,sample_fee_usd,lead_time_days,mixed_order_supported,customization_options,certifications,main_image,gallery_images,image_alt_en,video_url,meta_title,meta_description,primary_keyword,secondary_keywords,faq_1_q,faq_1_a,faq_2_q,faq_2_a,related_skus,supplier_name,supplier_contact,market_location,supplier_type,source_cost_rmb,quality_notes,risk_notes,last_updated,internal_notes
HQ,draft,BUNT-CD-001,BUNT Cordless Drill 20V Lithium-Ion,BUNT 20V锂电钻,bunt-cordless-drill-20v-wholesale,hand-tools,Power Tools,"cordless drill, power tools, electric drill, BUNT","hardware stores, online sellers, tool wholesalers, construction suppliers","wood drilling, metal drilling, screw driving, DIY home improvement","BUNT 20V cordless drill with lithium battery, factory-direct wholesale from Yiwu","The BUNT 20V cordless drill delivers powerful performance for drilling and driving. Powered by a long-lasting lithium-ion battery with variable speed control, keyless chuck, and ergonomic soft-grip handle. Factory-direct pricing ensures competitive wholesale rates for bulk orders.","20V lithium-ion power, variable speed trigger, keyless chuck, ergonomic soft-grip handle, LED work light","ABS housing + metal gearbox + rubber grip","red, blue, yellow",22x8x20,1200,color box with charger and battery,10,48x36x42,22,20,50,18.00,35.00,yes,15.00,15-25,yes,"logo printing, color customization, package design","CE, RoHS available on request",/images/products/bunt-cd-001/main.jpg,/images/products/bunt-cd-001/1.jpg;/images/products/bunt-cd-001/2.jpg,BUNT cordless drill 20V lithium-ion power tool wholesale,,BUNT Cordless Drill 20V Wholesale | Factory Price Yiwu Supplier,"Wholesale BUNT 20V cordless drill with lithium battery from Yiwu China. Factory prices, low MOQ, mixed orders, global shipping.",cordless drill wholesale,"power tools wholesale, electric drill wholesale, lithium-ion drill supplier, BUNT tools",Can I mix different tool types in one order?,"Yes, mixed orders across different tool categories are supported for wholesale buyers.",What accessories come with the drill?,"Standard package includes 1 battery, charger, and color box. Extra batteries and tool bags available.","BUNT-IM-001,BUNT-HD-001",BUNT Power Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,85-180,Check battery capacity and gear quality before bulk order.,Lithium battery shipping requires proper documentation for some countries.,2026-06-29,
HQ,draft,BUNT-IM-001,BUNT Electric Impact Wrench 380N.m,BUNT 电动冲击扳手,bunt-electric-impact-wrench-380nm-wholesale,hand-tools,Power Tools,"impact wrench, power tools, electric wrench, BUNT","auto repair shops, tire shops, construction teams, hardware wholesalers","lug nut removal, automotive repair, heavy equipment maintenance, steel structure assembly","BUNT electric impact wrench 380N.m torque, heavy-duty auto repair tool wholesale","The BUNT electric impact wrench delivers up to 380N.m of maximum torque for professional automotive and heavy-duty applications. Features forward/reverse switch, soft-grip handle, and durable metal gearbox. Sourced directly from the factory for competitive wholesale pricing.","380N.m max torque, powerful electric motor, forward/reverse switch, ergonomic handle, heavy-duty metal gearbox","Metal gearbox + ABS housing + rubber grip","red, blue",35x12x25,2800,color box,6,42x38x30,18,16.5,30,28.00,55.00,yes,20.00,15-25,yes,"logo, color, package custom","CE available on request",/images/products/bunt-im-001/main.jpg,/images/products/bunt-im-001/1.jpg;/images/products/bunt-im-001/2.jpg,BUNT electric impact wrench 380N.m auto repair tool wholesale,,BUNT Electric Impact Wrench 380N.m Wholesale | Factory Price Yiwu,"Wholesale BUNT electric impact wrench 380N.m from Yiwu China. Heavy-duty auto repair tool at factory prices, global shipping.",electric impact wrench wholesale,"impact wrench wholesale, auto repair tools wholesale, BUNT power tools, electric wrench supplier",What torque does this impact wrench provide?,"Maximum torque is 380N.m, suitable for professional auto repair and heavy-duty applications.",Can I get replacement parts?,"Yes, brushes and other wear parts are available for bulk orders.","BUNT-CD-001,BUNT-HD-001",BUNT Power Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,120-200,Check impact mechanism durability in sample testing.,Heavy weight may increase shipping cost for air freight.,2026-06-29,
HQ,draft,BUNT-HD-001,BUNT Electric Hammer Drill 26mm,BUNT 26mm电锤,bunt-hammer-drill-26mm-wholesale,hand-tools,Power Tools,"hammer drill, impact drill, rotary hammer, BUNT","construction teams, contractors, renovation companies, hardware stores","concrete drilling, masonry work, wall drilling, anchor installation, renovation","BUNT 26mm rotary hammer drill for concrete and masonry, durable industrial-grade wholesale","The BUNT 26mm rotary hammer drill is designed for heavy-duty concrete and masonry drilling. With a powerful motor and SDS-plus chuck system, it delivers impact energy for fast, efficient drilling in brick, stone, and concrete. Features 360-degree auxiliary handle, depth gauge, and anti-vibration design.","26mm drilling capacity, SDS-plus chuck, powerful motor, 360degree auxiliary handle, anti-vibration system, depth gauge","Metal body + ABS housing + rubber grip","red",45x10x28,3500,color box with accessories,4,48x38x32,16,14.5,30,35.00,65.00,yes,25.00,15-25,yes,"logo, color, package","CE, RoHS available",/images/products/bunt-hd-001/main.jpg,/images/products/bunt-hd-001/1.jpg;/images/products/bunt-hd-001/2.jpg,BUNT hammer drill 26mm electric rotary hammer concrete tool wholesale,,BUNT Electric Hammer Drill 26mm Wholesale | Concrete Drilling Yiwu Supplier,"Wholesale BUNT 26mm rotary hammer drill for concrete and masonry from Yiwu China. Factory prices, bulk orders, global shipping.",hammer drill wholesale,"rotary hammer drill wholesale, BUNT power tools, concrete drill supplier, SDS-plus hammer",What accessories come with the hammer drill?,"Standard includes auxiliary handle, depth gauge, and SDS-plus chuck. Drill bits sold separately.",Can this drill through reinforced concrete?,"Yes, with proper SDS-plus drill bits it can handle reinforced concrete up to 26mm.","BUNT-CD-001,BUNT-IM-001",BUNT Power Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,140-260,SDS chuck system quality is critical confirm with sample.,Heavy tool freight cost consideration for small orders.,2026-06-29,
HQ,draft,BUNT-AG-001,BUNT Angle Grinder 100mm,BUNT 100mm角磨机,bunt-angle-grinder-100mm-wholesale,hand-tools,Power Tools,"angle grinder, power tools, cutting tool, BUNT","metal workshops, construction teams, welding shops, hardware stores","metal cutting, grinding, polishing, rust removal, welding preparation","BUNT 100mm angle grinder for metal cutting and grinding, factory wholesale","The BUNT 100mm angle grinder is a versatile power tool for cutting, grinding, and polishing metal, stone, and tile. Features a powerful motor, spindle lock for quick disc changes, adjustable guard, and ergonomic slim-grip design. Compact yet powerful for professional and DIY use.","100mm disc, powerful motor, spindle lock, adjustable safety guard, ergonomic slim grip, compact design","Metal gearbox + ABS housing","red, blue, yellow",30x10x12,1800,color box,20,48x34x28,38,36,50,12.00,22.00,yes,10.00,15-25,yes,"logo, color, package","CE available on request",/images/products/bunt-ag-001/main.jpg,/images/products/bunt-ag-001/1.jpg;/images/products/bunt-ag-001/2.jpg,BUNT angle grinder 100mm metal cutting polishing tool wholesale,,BUNT Angle Grinder 100mm Wholesale | Metal Cutting Grinding Yiwu Supplier,"Wholesale BUNT 100mm angle grinder from Yiwu China. Metal cutting, grinding and polishing tool at factory prices, global shipping.",angle grinder wholesale,"BUNT angle grinder, power tools wholesale, metal cutting tool, grinding tool supplier",What disc size does this angle grinder use?,"Uses standard 100mm 4-inch cutting and grinding discs. Extra discs can be sourced separately.",Can I get extra discs included?,"Cutting and grinding discs can be sourced separately. We can include starter discs in bulk orders.","BUNT-CD-001,BUNT-HD-001",BUNT Power Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,45-80,Check motor winding quality and gear noise level.,Safety guard must comply with destination country regulations.,2026-06-29,
HQ,draft,BUNT-CK-001,BUNT Power Tool Combo Kit 20V,BUNT 20V电动工具套装,bunt-power-tool-combo-kit-20v-wholesale,hand-tools,Power Tools,"tool combo kit, power tool set, cordless drill set, BUNT","hardware retailers, online sellers, DIY stores, gift wholesalers","DIY home improvement, home repair, furniture assembly, general maintenance","BUNT 20V power tool combo kit with cordless drill, battery and charger in carrying case","Complete BUNT 20V power tool combo kit packed in a sturdy carrying case. Includes cordless drill, lithium battery, fast charger, and essential accessories. Perfect for DIY enthusiasts, home maintenance, and as a retail-ready gift set. The all-in-one kit provides everything needed to start working immediately.","Complete kit in carrying case, 20V cordless drill included, lithium battery plus charger, essential accessories, retail-ready packaging","ABS + metal tool set, blow-molded plastic case","blue case, yellow case",38x28x12,3500,carrying case kit,6,42x40x36,23,21,30,22.00,42.00,yes,18.00,15-25,yes,"logo, color, package design, kit contents customization","CE, RoHS available",/images/products/bunt-ck-001/main.jpg,/images/products/bunt-ck-001/1.jpg;/images/products/bunt-ck-001/2.jpg,BUNT power tool combo kit 20V cordless drill set wholesale,,BUNT Power Tool Combo Kit 20V Wholesale | DIY Tool Set Yiwu Supplier,"Wholesale BUNT 20V power tool combo kit with cordless drill, battery and charger. Factory prices, global shipping from Yiwu.",power tool combo kit wholesale,"tool set wholesale, DIY tool kit, BUNT power tools, cordless drill kit, combo tool set",What is included in the combo kit?,"Standard kit includes 1 cordless drill, 1 lithium battery, 1 charger, and basic accessories in a carrying case.",Can I customize what tools go in the kit?,"Yes, we can customize the kit contents, packaging, and branding based on order quantity.","BUNT-CD-001,BUNT-AG-001",BUNT Power Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,100-150,Verify all included accessories match sample before bulk.,Lithium battery compliance required for some destination markets.,2026-06-29,
HQ,draft,BUNT-CG-001,BUNT Heavy-Duty Caulking Gun,BUNT 重型玻璃胶枪,bunt-caulking-gun-heavy-duty-wholesale,hand-tools,Hand Tools,"caulking gun, sealant gun, silicone gun, BUNT","construction suppliers, hardware stores, renovation companies, DIY retailers","silicone application, sealant dispensing, construction sealing, bathroom renovation","BUNT heavy-duty caulking gun for silicone and sealant, drip-free design wholesale","The BUNT heavy-duty caulking gun is designed for smooth, controlled dispensing of silicone, sealant, and adhesive cartridges. Features a sturdy metal frame, ergonomic trigger, and built-in drip-free mechanism that prevents messy leakage after use. The ladder hook allows convenient hanging during work.","Heavy-duty metal frame, drip-free mechanism, ergonomic trigger, ladder hook, smooth push rod, fits standard 310ml cartridges","Steel frame + aluminum barrel + plastic handle","orange, black, red",34x22x6,650,hanging card or color box,30,48x36x38,21,19.5,100,1.50,3.50,yes,3.00,7-15,yes,"logo, color, package","No special certification required",/images/products/bunt-cg-001/main.jpg,/images/products/bunt-cg-001/1.jpg;/images/products/bunt-cg-001/2.jpg,BUNT heavy duty caulking gun silicone sealant tool wholesale,,BUNT Heavy-Duty Caulking Gun Wholesale | Silicone Sealant Tool Yiwu Supplier,"Wholesale BUNT heavy-duty caulking gun from Yiwu China. Smooth dispensing, drip-free design. Factory prices, low MOQ, global shipping.",caulking gun wholesale,"sealant gun wholesale, silicone gun supplier, BUNT hand tools, construction tools wholesale",What size cartridges does this caulking gun fit?,"It fits standard 310ml silicone and sealant cartridges, which is the global industry standard.",Does it really prevent dripping?,"Yes, the built-in drip-free mechanism automatically releases pressure when you stop squeezing.","BUNT-RG-001,BUNT-HS-001",BUNT Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,6-12,Check frame rigidity and trigger smoothness.,Simple product quality consistency across batches is key.,2026-06-29,
HQ,draft,BUNT-HS-001,BUNT Professional Hand Saw 500mm,BUNT 500mm专业手锯,bunt-hand-saw-500mm-wholesale,hand-tools,Hand Tools,"hand saw, wood saw, pruning saw, BUNT","hardware stores, garden centers, construction suppliers, DIY retailers","wood cutting, branch pruning, PVC cutting, general construction, DIY projects","BUNT professional hand saw 500mm triple-ground teeth, ergonomic soft-grip wholesale","The BUNT professional hand saw features a 500mm high-carbon steel blade with triple-ground teeth for fast, clean cuts through wood, PVC, and branches. The ergonomic soft-grip handle with rubber overmold provides comfort during extended use. An excellent retail-ready item for hardware and garden stores.","500mm high-carbon steel blade, triple-ground teeth for fast cutting, ergonomic soft-grip handle, rubber overmold, durable blade coating","High-carbon steel blade + PP/TPR handle","red blade with black handle, yellow blade",55x7x3,380,hanging card or blister pack,24,58x38x20,10.5,9.5,100,2.00,4.50,yes,3.00,7-15,yes,"logo, color, package","No special certification required",/images/products/bunt-hs-001/main.jpg,/images/products/bunt-hs-001/1.jpg;/images/products/bunt-hs-001/2.jpg,BUNT professional hand saw 500mm triple-ground wood cutting tool wholesale,,BUNT Professional Hand Saw 500mm Wholesale | Wood Cutting Tool Yiwu Supplier,"Wholesale BUNT 500mm professional hand saw from Yiwu China. Triple-ground teeth, ergonomic grip. Factory prices, global shipping.",hand saw wholesale,"wood saw wholesale, BUNT hand saw, cutting tools wholesale, garden tools supplier, pruning saw",What materials can this saw cut?,"It is designed for wood, PVC pipes, tree branches, and general construction materials.",Can I order mixed sizes of hand saws?,"Yes, various blade lengths from 350mm to 600mm available in mixed orders.","BUNT-TC-001,BUNT-PK-001",BUNT Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,8-15,Blade straightness and tooth quality are key inspection points.,Blade may rust if not properly oiled during long ocean shipping.,2026-06-29,
HQ,draft,BUNT-WP-001,BUNT Water Pump Pliers 10-inch,BUNT 10寸水泵钳,bunt-water-pump-pliers-10-inch-wholesale,hand-tools,Hand Tools,"water pump pliers, tongue and groove pliers, multi-grip pliers, BUNT","plumbing suppliers, hardware stores, maintenance teams, automotive shops","pipe gripping, nut turning, plumbing repair, automotive work, general gripping","BUNT 10-inch water pump pliers with slip-joint mechanism, multi-size grip wholesale","These BUNT 10-inch water pump pliers feature a reliable slip-joint mechanism that adjusts to multiple jaw positions for gripping pipes, nuts, and fittings of various sizes. The heat-treated carbon steel jaws with induction-hardened teeth provide superior grip strength and durability. PVC-dipped handles offer comfort and slip resistance.","Slip-joint multi-position adjustment, induction-hardened teeth, heat-treated carbon steel, PVC-dipped comfort handles, versatile gripping capacity","Carbon steel head + PVC-dipped handle","red handle, black handle",25x6x2,320,hanging card,48,52x30x24,16.5,15.5,100,1.80,3.80,yes,2.50,7-15,yes,"logo, color, package","No special certification required",/images/products/bunt-wp-001/main.jpg,/images/products/bunt-wp-001/1.jpg;/images/products/bunt-wp-001/2.jpg,BUNT water pump pliers 10 inch multi-grip plumbing tool wholesale,,BUNT Water Pump Pliers 10-Inch Wholesale | Multi-Grip Plumbing Tool Yiwu,"Wholesale BUNT 10-inch water pump pliers from Yiwu China. Slip-joint multi-grip design. Factory prices, global shipping.",water pump pliers wholesale,"BUNT pliers, plumbing tools wholesale, slip joint pliers, multi grip pliers supplier, pipe wrench",What sizes are available?,"Available in 7-inch, 10-inch, and 12-inch sizes. Mixed size orders welcome for wholesale buyers.",Can the PVC handles withstand oil and grease?,"Yes, the PVC-dipped handles are oil and grease resistant for workshop and garage use.","BUNT-AW-001,BUNT-CP-001",BUNT Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,7-12,Joint rigidity and jaw alignment are critical quality checks.,Bulk packaging must prevent rust during ocean transport.,2026-06-29,
HQ,draft,BUNT-AW-001,BUNT Adjustable Wrench 8-inch,BUNT 8寸活动扳手,bunt-adjustable-wrench-8-inch-wholesale,hand-tools,Hand Tools,"adjustable wrench, crescent wrench, spanner, BUNT","hardware stores, plumbing suppliers, auto repair shops, maintenance teams","nut and bolt turning, plumbing fittings, equipment maintenance, general repair","BUNT 8-inch adjustable wrench with precision worm gear, chrome-vanadium steel wholesale","The BUNT 8-inch adjustable wrench features a precision-machined worm gear mechanism for smooth, accurate jaw adjustment. Forged from chrome-vanadium steel Cr-V with a polished chrome finish for corrosion resistance. The laser-etched scale allows quick size setting. A fundamental tool for every toolbox and workshop.","Chrome-vanadium steel forged, precision worm gear, chrome-plated finish, laser-etched scale, slim head design for tight spaces","Chrome-vanadium steel","chrome silver",21x5x1.5,280,hanging card or plastic pouch,60,44x30x24,18.5,17.5,100,1.50,3.50,yes,2.00,7-15,yes,"logo, color sleeve, package","No special certification required",/images/products/bunt-aw-001/main.jpg,/images/products/bunt-aw-001/1.jpg;/images/products/bunt-aw-001/2.jpg,BUNT adjustable wrench 8 inch chrome vanadium steel wholesale,,BUNT Adjustable Wrench 8-Inch Wholesale | Chrome Vanadium Steel Yiwu Supplier,"Wholesale BUNT 8-inch adjustable wrench made from chrome-vanadium steel. Precision worm gear, polished finish. Factory prices, global shipping.",adjustable wrench wholesale,"crescent wrench wholesale, BUNT spanner, chrome vanadium wrench, hand tools supplier, adjustable spanner",What sizes are available?,"Available in 6-inch, 8-inch, 10-inch, and 12-inch sizes. Mixed orders across sizes are supported.",Is the chrome plating durable?,"Yes, the polished chrome finish provides good corrosion resistance. Proper storage recommended for long-term use.","BUNT-WP-001,BUNT-CP-001",BUNT Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,6-10,Worm gear smoothness and jaw parallelism are key QC points.,Chrome plating uniformity should be checked per batch.,2026-06-29,
HQ,draft,BUNT-GC-001,BUNT G-Clamp 4-inch Heavy Duty,BUNT 4寸重型G型夹,bunt-g-clamp-4-inch-heavy-duty-wholesale,hand-tools,Hand Tools,"G clamp, C clamp, woodworking clamp, bench clamp, BUNT","woodworking shops, metal workshops, hardware stores, DIY retailers","woodworking glue-up, metal holding, welding fixture, general clamping","BUNT 4-inch heavy-duty G-clamp with cast iron body, workshop essential wholesale","The BUNT 4-inch heavy-duty G-clamp is built for professional woodworking and metalworking applications. The sturdy cast iron body and precision Acme-threaded spindle provide secure, non-slip clamping pressure. The swivel pad protects work surfaces from damage. Orange powder-coated finish adds visibility and rust protection.","Cast iron body for rigidity, Acme-threaded spindle, swivel pad protects surfaces, powder-coated finish, ergonomic T-handle","Cast iron body + steel spindle","orange, red",15x8x2.5,500,hanging card or color box,36,42x34x26,19,18,100,1.80,4.00,yes,3.00,7-15,yes,"logo, color, package","No special certification required",/images/products/bunt-gc-001/main.jpg,/images/products/bunt-gc-001/1.jpg;/images/products/bunt-gc-001/2.jpg,BUNT heavy duty G clamp 4 inch cast iron woodworking tool wholesale,,BUNT G-Clamp 4-Inch Heavy Duty Wholesale | Cast Iron Woodworking Yiwu Supplier,"Wholesale BUNT 4-inch heavy-duty G-clamp made from cast iron. Professional woodworking and metalworking clamp. Factory prices, global shipping.",G clamp wholesale,"C clamp wholesale, woodworking clamp supplier, BUNT hand tools, cast iron clamp, bench clamp",What sizes are available?,"Available in 2-inch, 3-inch, 4-inch, 5-inch, and 6-inch sizes. Mixed size orders welcome.",Will the cast iron body rust?,"The powder-coated finish provides good rust protection. Recommend indoor storage for best longevity.","BUNT-WP-001,BUNT-AW-001",BUNT Tools Factory,WeChat / phone,Yongkang Zhejiang,factory,7-12,Spindle thread precision and clamp alignment are key QC points.,Cast iron is heavy and freight cost for small orders may be high relative to product value.,2026-06-29,
